Capital,Country,Continent
Monrovia,Liberia,Africa
Montevideo,Uruguay,South America
Moroni,Comoros,Africa
Moscow,Russia,Europe
Muscat,Oman,Asia
Nairobi,Kenya,Africa
Nassau,Bahamas,North America
Naypyidaw,Myanmar,Asia
N'Djamena,Chad,Africa
New Delhi,India,Asia
Ngerulmud,Palau,Oceania
Niamey,Niger,Africa
Nicosia,Cyprus,Asia
Nicosia,Northern Cyprus,Asia
Nouakchott,Mauritania,Africa
Nouméa,New Caledonia,Oceania
Nukuʻalofa,Tonga,Oceania
Nuuk,Greenland,North America
Oranjestad,Aruba,South America
Oslo,Norway,Europe
Ottawa,Canada,North America
Ouagadougou,Burkina Faso,Africa
Pago Pago,American Samoa,Oceania
Palikir,Micronesia,Oceania
Panama City,Panama,North America
Papeete,French Polynesia,Oceania
Paramaribo,Suriname,South America
Paris,France,Europe
Philipsburg,Sint Maarten,North America
Phnom Penh,Cambodia,Asia
Podgorica,Montenegro,Europe
Port Louis,Mauritius,Africa
Port Moresby,Papua New Guinea,Oceania
Port of Spain,Trinidad and Tobago,South America
Port Vila,Vanuatu,Oceania
Port-au-Prince,Haiti,North America
Prague,Czech Republic,Europe
Praia,Cape Verde,Africa
Pristina,Kosovo,Europe
Pyongyang,North Korea,Asia
Quito,Ecuador,South America
Rabat,Morocco,Africa
Reykjavík,Iceland,Europe
Riga,Latvia,Europe
Riyadh,Saudi Arabia,Asia
Road Town,British Virgin Islands,North America
Rome,Italy,Europe
Roseau,Dominica,North America
Rothera,British Antarctic Territory,Antarctica
Saipan,Northern Mariana Islands,Oceania
San José,Costa Rica,North America
San Juan,Puerto Rico,North America
San Marino,San Marino,Europe
San Salvador,El Salvador,North America
Santiago,Chile,South America
Santo Domingo,Dominican Republic,North America
São Tomé,São Tomé and Príncipe,Africa
Sarajevo,Bosnia and Herzegovina,Europe
Seoul,South Korea,Asia
Singapore,Singapore,Asia
Skopje,North Macedonia,Europe
Sofia,Bulgaria,Europe
South Tarawa,Kiribati,Oceania
St. George's,Grenada,North America
St. Helier,Jersey,Europe
St. John's,Antigua and Barbuda,North America
St. Peter Port,Guernsey,Europe
St. Pierre,Saint Pierre and Miquelon,North America
Stanley,Falkland Islands,South America
Stockholm,Sweden,Europe
Sukhumi,Abkhazia,Asia/Europe
Suva,Fiji,Oceania
Taipei,Taiwan,Asia
Tallinn,Estonia,Europe
Tashkent,Uzbekistan,Asia
Tbilisi,Georgia,Asia/Europe
Tegucigalpa,Honduras,North America
Comayagüela,Honduras,North America
Tehran,Iran,Asia
Thimphu,Bhutan,Asia
Tirana,Albania,Europe
Tiraspol,Transnistria,Europe
Tokyo,Japan,Asia
Tórshavn,Faroe Islands,Europe
Tripoli,Libya,Africa
Tskhinvali,South Ossetia,Asia/Europe
Tunis,Tunisia,Africa
Ulaanbaatar,Mongolia,Asia
Vaduz,Liechtenstein,Europe
Valletta,Malta,Europe
The Valley,Anguilla,North America
Vatican City,Vatican City,Europe
Victoria,Seychelles,Africa
Vienna,Austria,Europe
Vientiane,Laos,Asia
Vilnius,Lithuania,Europe
Warsaw,Poland,Europe
Washington D.C.,United States,North America
Wellington,New Zealand,Oceania
West Island,Cocos (Keeling) Islands,Oceania
Willemstad,Curaçao,North America
Windhoek,Namibia,Africa
Yaoundé,Cameroon,Africa
Yaren (de facto),Nauru,Oceania
Yerevan,Armenia,Asia
Zagreb,Croatia,Europe
